id,final_d,emp_length_int,home_ownership_cat,annual_inc,income_cat,loan_amount,term_cat,application_type_cat,purpose_cat,interest_payment_cat,loan_condition_cat,interest_rate,grade,dti,total_pymnt,total_rec_prncp,recoveries,installment
21,1082015,3,1,43370,1,20250,2,1,6,2,0,15.27,C,26.53,27663.04267,20250,0,484.63
22,1092013,10,1,105000,2,21000,1,1,6,1,1,12.42,B,13.22,14025.4,10694.96,0,701.73
23,1012015,10,2,50000,1,10000,1,1,1,1,0,11.71,B,11.18,11902.56157,10000,0,330.76
24,1102013,5,1,50000,1,10000,1,1,6,1,0,11.71,B,16.01,11536.31,10000,0,330.76
25,1102012,1,1,76000,1,6000,1,1,8,1,1,11.71,B,2.4,2050.14,1305.58,269.31,198.46
26,1092012,2,3,92000,1,15000,1,1,1,1,0,9.91,B,29.44,15823.48,15000,0,483.38
27,1012016,9,1,60000,1,15000,1,1,6,2,1,14.27,C,15.22,0,0,0,514.64
28,1122012,2,1,50004,1,5000,2,1,4,2,1,16.77,D,13.97,1609.12,629.05,260.96,123.65
29,1042013,10,3,106000,2,4000,1,1,6,1,0,11.71,B,5.63,4484.79,4000,0,132.31
30,1122014,0.5,1,25000,1,8500,1,1,1,1,0,11.71,B,12.19,10122.20861,8500,0,281.15
31,1012015,7,3,17108,1,4375,1,1,6,1,0,7.51,A,20.34,4898.543557999999,4375,0,136.11
32,1082013,5,3,75000,1,31825,1,1,6,1,0,7.9,A,14.03,34886.08,31825,0,995.82
33,1012016,2,1,29120,1,10000,2,1,6,2,0,15.96,C,22.83,11622.36,7304.67,0,242.97
34,1012015,2,1,24044,1,5000,1,1,6,1,0,8.9,A,11.93,5714.592129,5000,0,158.77
35,1012015,7,1,34000,1,7000,1,1,1,2,0,15.96,C,6.35,8848.94043,7000,0,245.97
36,1012015,10,1,41000,1,12400,1,1,1,1,0,10.65,B,11.8,14537.459530000002,12400,0,403.91
37,1112013,2,1,55596,1,10800,1,1,10,1,0,9.91,B,5.5,12157.2,10800,0,348.03
38,1012014,1,1,45000,1,15000,1,1,6,1,0,7.9,A,8.48,16662.6,15000,0,469.36
39,1042014,1,1,36852,1,6000,1,1,6,1,0,12.42,B,10.62,7125.283165000001,6000,0,200.5
40,1012016,1,1,27000,1,12500,2,1,6,1,0,12.69,B,16.04,13506.54,9306.87,0,282.44
41,1012015,4,1,68004,1,9600,1,1,4,1,0,7.51,A,6.63,10749.76265,9600,0,298.67
42,1012015,10,1,62300,1,12000,1,1,6,1,0,7.9,A,16.7,13516.382959999999,12000,0,375.49
43,1012015,9,3,65000,1,3000,1,1,4,2,0,18.25,D,17.39,3915.0275950000005,3000,0,108.84
44,1012015,10,1,55000,1,4400,1,1,6,2,0,16.77,D,20.01,5626.892655,4400,0,156.37
45,1072012,10,3,45600,1,6000,1,1,6,1,0,6.03,A,5.34,6065.86,6000,0,182.62
46,1012015,6,1,80000,1,14000,1,1,3,1,0,9.91,B,10,16239.914130000001,14000,0,451.15
47,1082014,10,3,100000,1,5000,1,1,6,1,1,8.9,A,16.33,5021.37,4217.38,107,158.77
48,1012015,6,1,27000,1,10000,1,1,4,1,0,10.65,B,11.47,11724.56774,10000,0,325.74
49,1072012,10,1,60000,1,10000,1,1,1,1,0,6.03,A,12.74,10282.67,10000,0,304.36
50,1012015,5,1,70000,1,11000,1,1,6,1,0,6.62,A,10.85,12157.38005,11000,0,337.75
51,1102014,8,3,80000,1,15000,1,1,6,1,1,9.91,B,9.12,16177.77,13556.45,222.81,483.38
52,1012015,9,1,110000,2,25600,1,1,1,1,0,9.91,B,15.71,29695.62268,25600,0,824.96
53,1012015,0.5,1,40000,1,7000,1,1,6,1,0,10.65,B,7.38,8205.473816,7000,0,228.02
54,1082012,4,1,50000,1,12000,1,1,2,2,1,15.96,C,20.88,3521.95,1903.66,578.94,421.65
55,1072014,1,1,46000,1,12000,1,1,1,1,0,9.91,B,8.11,13748.213109999999,12000,0,386.7
56,1102014,7,1,50000,1,21000,2,1,6,2,1,19.91,E,21.58,18319.14,8990.81,0,555.33
57,1102013,7,1,81000,1,16000,2,1,1,2,0,19.91,E,20.52,20876.1,16000,0,423.11
58,1072013,0.5,2,39000,1,10000,1,1,6,1,0,12.42,B,18.58,11474.76,10000,0,334.16
59,1082012,2,1,51400,1,10000,1,1,1,1,0,10.65,B,19.14,10575.94,10000,0,325.74
60,1012015,1,3,33000,1,7100,1,1,6,2,0,16.77,D,24,9079.334843,7100,0,252.33
61,1012016,0.5,3,30000,1,13000,2,1,6,1,0,12.69,B,13.72,17402.239990000002,13000,0,293.74
62,1012016,6,1,40000,1,17500,2,1,3,2,0,17.27,D,19.47,10713.52,6487.75,0,223.74
63,1082013,0.5,1,50000,1,17675,2,1,6,2,0,14.65,C,16.46,21323.43,17675,0,417.25
64,1122014,0.5,1,62000,1,8000,1,1,6,2,0,16.77,D,21.64,10267.26214,8000,0,284.31
65,1042015,10,1,45996,1,10000,2,1,6,1,1,10.65,B,21.73,8772.91,5495.38,847.3,215.69
66,1012015,7,3,55000,1,3500,1,1,6,1,0,10.65,B,5.39,4103.168128,3500,0,114.01
67,1022014,5,1,30000,1,12500,2,1,6,2,1,17.27,D,13.16,5577.75,2812.82,22.5,223.11
68,1112012,4,1,44544,1,16425,1,1,6,2,0,14.27,C,22.71,18172.71,16425,0,563.53
69,1062013,4,1,75000,1,8200,2,1,3,2,1,21.28,F,12.48,4173.57,1525.83,381.89,223.14
70,1092014,2,2,61000,1,15000,1,1,1,2,0,14.65,C,11.88,18562.400419999998,15000,0,517.42
71,1042014,5,3,44000,1,20975,2,1,1,2,0,17.58,D,18.79,18097.34458,13575,0,341.63
72,1102013,5,1,75000,1,6400,1,1,6,2,1,16.77,D,20.22,4776.45,3334.25,10.29,227.45
73,1092012,1,1,33600,1,3000,1,1,6,2,0,13.49,C,18.11,3246.8,3000,0,101.8
74,1012015,3,1,50000,1,12000,1,1,1,2,0,16.77,D,20.57,15346.466869999998,12000,0,426.47
75,1012015,0.5,2,150000,2,14400,1,1,6,1,0,8.9,A,14.85,16459.51914,14400,0,457.25
76,1062012,10,1,90000,1,12000,1,1,6,2,0,14.65,C,16.56,12699.48,12000,0,413.94
77,1102014,10,3,48000,1,11000,1,1,6,2,0,13.49,C,21.82,13413.21605,11000,0,373.24
78,1092012,0.5,1,75000,1,7250,2,1,6,2,0,21.67,F,24.82,8201.53,7200,0,197.51
79,1082012,1,3,52000,1,15000,1,1,3,1,0,7.9,A,9.65,15557.64,15000,0,469.36
80,1102014,10,3,65000,1,18000,2,1,6,2,0,19.91,E,6.81,26027.53964,18000,0,475.99
81,1022014,3,3,150000,2,35000,2,1,7,2,0,17.27,D,7.51,28871.92,22075,0,551.84
82,1072012,2,1,68000,1,10000,1,1,1,2,0,14.27,C,15.39,10671.62,10000,0,343.09
83,1012015,6,1,42000,1,11800,1,1,1,1,0,12.69,B,9.86,14243.15837,11800,0,395.83
84,1012015,4,1,53000,1,4500,1,1,8,1,0,6.03,A,4.44,4930.30217,4500,0,136.96
85,1012015,10,1,35000,1,7000,1,1,1,1,0,12.69,B,11.35,8449.394742,7000,0,234.82
86,1072013,2,1,60000,1,9200,1,1,6,1,0,12.42,B,19.96,10480.84,9200,0,307.43
87,1012016,4,1,28000,1,14000,2,1,4,2,0,17.27,D,6.34,16777.04,10157.6,0,349.98
88,1122012,0.5,3,42000,1,4500,2,1,2,1,0,10.65,B,5.4,4907.8,4500,0,97.06
89,1112013,9,1,88365,1,12000,1,1,6,2,0,16.29,D,16.85,14685.36,12000,0,423.61
90,1042014,4,1,72000,1,12000,1,1,6,2,0,13.49,C,21.33,13985.67622,12000,0,407.17
91,1092012,0.5,1,62000,1,12000,1,1,1,1,0,10.65,B,23.94,12779.62,12000,0,390.88
92,1022013,3,3,43680,1,7000,1,1,1,1,0,10.65,B,5.38,7687.73,7000,0,228.02
93,1122014,3,1,120000,2,8200,2,1,6,2,0,19.42,E,2.8,11894.8952,8200,0,214.62
94,1102012,10,1,66000,1,10500,1,1,9,1,0,12.69,B,20.73,11232.14,10500,0,352.23
95,1062013,4,2,39120,1,7000,1,1,6,1,0,11.71,B,21.01,7932.3,7000,0,231.54
96,1012016,6,1,85000,1,15300,2,1,1,2,0,22.06,F,20.58,20295.8,10776.09,0,423.1
97,1112013,4,3,47800,1,20000,2,1,6,1,0,11.71,B,10.04,15161.27,12800,0,282.86
98,1042013,7,3,45000,1,17500,2,1,1,2,1,17.27,D,21.31,10037.1,3077.85,3486,437.47
99,1012015,10,3,83000,1,3500,1,1,2,1,0,6.03,A,2.31,3834.66085,3500,0,106.53
100,1012016,0.5,1,81000,1,6000,2,1,8,1,0,12.69,B,13.66,6495.11,4472.4,0,135.57
101,1122012,2,1,25000,1,6200,1,1,6,1,1,9.91,B,20.64,2452.22,1700.79,258.27,199.8
102,1012016,7,1,65000,1,16000,2,1,6,2,0,17.58,D,15.56,19297.95,11584.03,0,402.65
103,1012015,8,2,28800,1,6000,1,1,6,1,0,8.9,A,13.17,6857.167486,6000,0,190.52
104,1012015,6,1,135000,2,7200,1,1,1,1,0,9.91,B,6.12,8350.844344,7200,0,232.02
105,1072013,7,3,50000,1,9500,1,1,1,1,0,8.9,A,8.18,10493.71,9500,0,301.66
106,1092014,10,1,38000,1,18825,2,1,6,2,1,16.77,D,23.18,18218.25,8087.75,3343.79,465.53
107,1012015,10,1,45000,1,24000,1,1,6,1,0,10.65,B,14.8,28140.929360000002,24000,0,781.76
108,1012015,10,1,80000,1,6000,1,1,6,2,0,13.49,C,11.58,7326.009787000001,6000,0,203.59
109,1012015,5,1,50000,1,6000,1,1,6,2,0,13.49,C,15.38,7325.544153,6000,0,203.59
110,1122014,10,3,30000,1,2100,1,1,11,1,0,12.42,B,19.72,2552.485243,2100,0,70.18
111,1012015,8,3,110000,2,5500,1,1,3,1,0,6.62,A,9.69,6077.8756189999995,5500,0,168.88
112,1012015,8,2,45608,1,11000,1,1,6,1,0,6.62,A,20.5,12156.857320000001,11000,0,337.75
113,1032013,3,3,120000,2,26800,2,1,6,2,0,20.89,F,12.15,32887.69,26800,0,723.38
114,1032013,5,3,35000,1,8000,1,1,6,1,0,12.69,B,10.05,8999.1,8000,0,268.36
115,1012015,1,1,75000,1,10000,1,1,1,2,1,18.25,D,24.14,11730.6,8320.22,229.06,362.78
116,1052014,9,3,35000,1,8000,1,1,1,1,0,11.71,B,9.7,9434.776936,8000,0,264.61
117,1032013,6,1,24000,1,10000,1,1,6,1,0,8.9,A,7,10868.92,10000,0,317.54
118,1052014,2,3,126000,2,12000,1,1,6,1,0,11.71,B,13.32,14182.29986,12000,0,396.92
119,1012015,1,1,43000,1,10000,1,1,6,1,0,7.9,A,25.26,11264.00958,10000,0,312.91
120,1012015,1,1,50000,1,12000,1,1,6,1,0,9.91,B,16.44,13920.02507,12000,0,386.7
121,1032015,10,3,67000,1,25000,2,1,1,2,1,13.49,C,14.15,23880.65,13833.2,2010.58,575.12
122,1092013,4,1,45000,1,19750,1,1,6,1,1,10.65,B,22.8,11930.65,8590.58,641.29,643.33
123,1012013,3,1,31200,1,10000,1,1,6,1,0,9.91,B,14.81,10904.24,10000,0,322.25
124,1122013,4,1,66000,1,13650,1,1,6,1,0,12.42,B,24.09,16011.18,13650,0,456.12
125,1062014,10,1,52000,1,28000,2,1,6,2,1,19.91,E,20.7,12173.07,4281.54,3132.16,312.04
126,1012015,10,1,56964,1,18000,1,1,6,1,0,7.9,A,27.55,20275.33655,18000,0,563.23
127,1022012,7,1,49500,1,2500,1,1,6,2,0,14.27,C,10.33,2529.9,2500,0,85.78
128,1082013,10,1,70000,1,21000,2,1,1,2,0,20.3,E,23.21,27085.42,21000,0,559.89
129,1012015,6,3,125000,2,35000,1,1,6,1,0,8.9,A,22.71,40006.54992,35000,0,1111.37
130,1122013,3,1,33000,1,10000,1,1,1,1,0,7.51,A,9.75,11027.3,10000,0,311.11
131,1012015,0.5,1,30000,1,7000,1,1,1,1,0,12.69,B,15.8,8452.256793,7000,0,234.82
132,1082012,8,3,90000,1,24000,1,1,7,2,1,15.96,C,9.17,5895.68,3813.57,0,843.3
133,1062014,5,3,23000,1,10625,1,1,9,1,0,7.51,A,18.89,11841.940709999999,10625,0,330.56
134,1012013,2,1,24000,1,5000,1,1,6,2,0,14.65,C,18.3,5682.08,5000,0,172.48
135,1012015,10,1,62000,1,8850,1,1,1,1,0,6.62,A,17.71,9781.605755,8850,0,271.73
136,1122012,4,1,44000,1,6375,1,1,6,1,0,7.51,A,4.8,6737.55,6375,0,198.34
137,1032014,1,1,90000,1,6000,1,1,1,1,0,11.71,B,2.97,7041.293751,6000,0,198.46
138,1112013,10,1,41000,1,11100,1,1,1,1,1,6.62,A,29.85,8120.14,6516.79,626.5,340.82
139,1102014,2,3,56000,1,10000,2,1,6,1,0,12.69,B,10.82,12727.42606,10000,0,225.95
140,1012015,5,3,26500,1,6200,1,1,3,1,0,6.03,A,18.2,6793.070094,6200,0,188.71
141,1052014,1,1,54000,1,15000,1,1,6,2,0,18.64,E,19.69,19401.719380000002,15000,0,547.12
142,1012015,2,1,53000,1,4200,1,1,4,1,0,11.71,B,16.91,5000.46251,4200,0,138.92
143,1042012,4,1,52800,1,14000,1,1,6,2,0,14.27,C,7.36,14487.95,14000,0,480.33
144,1092013,1,3,38000,1,8875,1,1,6,1,0,7.51,A,23.53,9712.65,8875,0,276.11
145,1012015,7,1,38000,1,13500,1,1,6,1,0,9.91,B,12.38,15657.939380000002,13500,0,435.04
146,1052014,2,1,42000,1,12000,1,1,6,1,1,9.91,B,7.83,11234.49,9011.72,414.89,386.7
147,1052014,4,1,55000,1,16000,2,1,6,2,0,19.91,E,15.8,22277.26289,16000,0,423.11
148,1082013,8,3,60000,1,21600,2,1,6,2,0,19.42,E,16.74,27580.75,21600,0,565.32
149,1072014,6,3,87000,1,6000,1,1,7,1,0,10.65,B,12.86,6999.427406999999,6000,0,195.44
150,1092015,5,2,25000,1,8450,2,1,6,2,0,16.77,D,22.51,12188.56442,8450,0,208.97
151,1022015,1,1,82000,1,20000,2,1,1,2,0,13.49,C,17.68,26397.31306,20000,0,460.1
152,1072013,8,1,60000,1,10000,1,1,6,1,1,11.71,B,22.08,6002.23,4293.91,319.46,330.76
153,1032014,5,3,80000,1,12000,1,1,1,2,0,16.29,D,18.18,14946.560019999999,12000,0,423.61
154,1102013,10,1,25000,1,13475,2,1,1,2,1,13.49,C,21.89,6198.89,3516.74,0,309.99
155,1022015,5,1,48000,1,7200,1,1,8,1,0,12.42,B,17.43,8677.156340000001,7200,0,240.59
156,1082012,1,3,85000,1,5600,1,1,6,2,1,14.65,C,12.24,1350.86,905.39,0,193.17
157,1122013,0.5,1,57000,1,12000,1,1,6,2,0,14.27,C,10.86,14396.58,12000,0,411.71
158,1052013,2,1,25000,1,8500,1,1,1,1,0,6.03,A,1.73,9074.73,8500,0,258.71
159,1012015,2,1,34000,1,8000,1,1,1,1,0,9.91,B,18.28,9279.812752,8000,0,257.8
160,1012015,10,1,40000,1,8000,1,1,1,1,0,12.42,B,15,9622.78032,8000,0,267.33
161,1112015,10,1,42656,1,16000,2,1,6,2,0,15.27,C,17.44,22394.08,16000,0,382.92
162,1062013,2,3,44400,1,15000,1,1,12,2,0,17.27,D,3.59,17991.53,15000,0,536.81
163,1072014,2,2,30000,1,10000,1,1,6,1,0,9.91,B,11.24,11386.43022,10000,0,322.25
164,1122013,5,3,70000,1,10000,1,1,1,1,0,6.62,A,16.78,10902.91,10000,0,307.04
165,1082012,3,1,28000,1,8000,1,1,2,2,0,14.65,C,12.6,8636.82,8000,0,275.96
166,1122014,2,3,50000,1,22000,1,1,6,1,0,9.91,B,13.22,25521.095719999998,22000,0,708.95
167,1122013,10,3,94800,1,6000,1,1,2,2,0,14.27,C,24.53,7215.05,6000,0,205.86
168,1122015,10,2,40000,1,16000,2,1,6,1,0,9.91,B,9.39,16282.75,12138.89,0,339.25
169,1122013,6.05,2,12000,1,2500,1,1,6,1,1,7.51,A,16.3,1838.88,1575.06,10.08,77.78
170,1092014,2,3,36000,1,13500,1,1,1,1,0,9.91,B,22.93,15621.26606,13500,0,435.04
171,1012015,2,1,225000,3,25000,1,1,6,1,0,12.42,B,8.32,30071.72882,25000,0,835.39
172,1092014,2,1,45900,1,10000,1,1,3,2,0,13.49,C,24.97,12174.48231,10000,0,339.31
173,1012015,4,1,27200,1,2500,1,1,6,2,0,13.49,C,6.44,3050.276004,2500,0,84.83
174,1012015,1,1,42000,1,7325,1,1,6,1,0,12.69,B,22.57,8844.700842,7325,0,245.72
175,1102012,5,1,135000,2,4000,1,1,1,1,0,12.42,B,12.12,4337.11,4000,0,133.67
176,1032014,5,1,65000,1,10000,1,1,3,2,1,13.49,C,6.92,9270.84,6799.56,459.53,339.31
177,1012014,0.5,1,24000,1,7750,1,1,6,2,1,17.27,D,16.1,6934,4935.39,11.91,277.36
178,1102012,6,1,70000,1,20000,2,1,6,2,1,20.89,F,16.63,5425.96,1318.27,1073.61,539.84
179,1012014,10,1,65000,1,9600,1,1,6,1,0,12.42,B,11.65,11337.71,9600,0,320.79
180,1082012,3,1,60000,1,21000,2,1,6,1,1,11.71,B,6.62,3708.24,2142.87,0,464.07
181,1122012,3,1,30000,1,14000,1,1,1,1,0,10.65,B,15.52,15200.08,14000,0,456.03
182,1012015,10,1,43000,1,13350,1,1,6,1,0,12.42,B,20.57,16058.394419999999,13350,0,446.1
183,1042014,10,1,42000,1,15000,1,1,6,2,1,16.77,D,19.63,13373.77,8365.66,1084.71,533.08
184,1082013,8,1,75000,1,15000,1,1,6,2,1,17.27,D,16.03,10198.4,6944.85,15.16,536.81
185,1122015,10,3,129000,2,11000,2,1,6,2,0,13.49,C,10.94,12119.38,8158.5,0,253.06
186,1102013,2,3,168000,2,35000,1,1,6,1,0,10.65,B,3.17,38059.76,35000,0,1140.07
187,1012015,9,3,74000,1,9000,1,1,1,1,0,10.65,B,8.89,10552.7928,9000,0,293.16
188,1122015,7,3,52000,1,22475,2,1,6,2,0,15.27,C,15.23,25796.01,16512.33,0,537.87
189,1052014,1,1,58500,1,16000,1,1,6,1,1,12.69,B,20.64,12295.72,9479.47,10.47,536.72
190,1012015,5,1,71000,1,13500,1,1,6,1,0,12.69,B,11.97,16301.54517,13500,0,452.86
191,1012015,10,1,75000,1,24000,1,1,6,1,0,12.69,B,11.6,28978.67895,24000,0,805.08
192,1012015,5,1,60000,1,12000,1,1,1,1,0,10.65,B,10.84,14070.398640000001,12000,0,390.88
193,1122015,5,1,87996,1,8400,2,1,8,2,0,16.77,D,11.35,9940.54,6104.36,0,207.73
194,1012012,5,3,140000,2,28000,2,1,7,2,0,17.58,D,12.07,28411.15,28000,0,704.64
195,1092014,10,1,66000,1,14000,1,1,6,1,0,6.62,A,11.15,15450.084219999999,14000,0,429.86
196,1102012,8,3,70000,1,12000,1,1,4,2,1,14.27,C,8.4,4241.16,2534.26,543.42,411.71
197,1092014,10,3,100000,1,25000,1,1,6,1,0,11.71,B,6.88,29277.573839999997,25000,0,826.9
198,1012015,5,1,50000,1,9000,1,1,6,1,0,12.69,B,17.81,10867.20998,9000,0,301.91
199,1012015,4,1,35000,1,13250,1,1,6,1,0,10.65,B,24.93,15535.931859999999,13250,0,431.6
200,1012014,6,1,75000,1,20000,1,1,6,2,0,13.49,C,22.38,23861.58,20000,0,678.61
201,1012015,5,1,71000,1,3000,1,1,9,2,0,14.65,C,21.84,3723.936325,3000,0,103.49
202,1012015,10,3,48000,1,7350,1,1,6,1,0,10.65,B,11.93,8616.33002,7350,0,239.42
203,1012015,5,1,36000,1,11500,1,1,6,2,0,15.27,C,21.1,14400.49925,11500,0,400.18
204,1052013,10,3,86000,1,13650,1,1,6,1,1,12.42,B,12.29,8203.29,5810.73,460.64,456.12
205,1072012,3,1,30000,1,10500,1,1,6,2,1,16.29,D,15,2222.16,1414.89,0,370.66
206,1012015,2,1,60000,1,12000,1,1,6,1,0,9.91,B,15.5,13919.413869999998,12000,0,386.7
207,1012015,3,1,34000,1,6000,1,1,1,1,0,8.9,A,14.51,6857.261151000001,6000,0,190.52
208,1072013,10,3,44200,1,11500,1,1,1,2,0,15.27,C,21.69,13598.01,11500,0,400.18
209,1022014,7,3,82000,1,7000,1,1,6,1,0,12.42,B,12,8290.73,7000,0,233.91
210,1102015,6,3,83000,1,29500,2,1,6,2,0,20.3,E,20.93,45755.229980000004,29500,0,786.51
211,1012015,2,1,41000,1,2000,1,1,10,2,0,15.27,C,17.74,2520.4,2000,0,69.6
212,1012015,0.5,3,36000,1,11625,1,1,1,2,0,13.49,C,19.33,14196.268240000001,11625,0,394.45
213,1062014,10,1,35000,1,15075,1,1,6,2,1,14.27,C,20.16,15502.77,11609.04,519.28,517.21
214,1102014,1,1,30000,1,5300,1,1,1,2,0,15.27,C,24.88,6622.546709,5300,0,184.43
215,1012015,0.5,1,40000,1,8200,1,1,7,1,0,6.62,A,11.1,9062.49784,8200,0,251.77
216,1012015,9,3,105000,2,12000,1,1,1,1,0,12.42,B,13.98,14431.97856,12000,0,400.99
217,1012015,4,3,45000,1,8650,1,1,1,2,0,14.27,C,7.6,10678.68477,8650,0,296.78
218,1122015,10,3,109000,2,21000,2,1,6,2,0,17.27,D,7.75,14117.18,8549.22,0,294.98
219,1122015,2,1,50000,1,16000,2,1,6,2,0,17.27,D,11.04,19183.22,11613.1,0,399.97
220,1012015,2,1,83000,1,12000,1,1,6,1,0,12.42,B,11.81,14432.31018,12000,0,400.99
221,1112013,0.5,3,52500,1,9500,1,1,10,1,1,12.69,B,23.54,7002.16,5366.65,0,318.68
222,1012015,0.5,2,25000,1,7400,1,1,6,2,0,13.49,C,8.45,9037.695679999999,7400,0,251.09
223,1082012,10,3,60000,1,14400,1,1,6,2,0,13.49,C,16.92,15453.51,14400,0,488.6
224,1122012,7,3,120000,2,24250,2,1,6,2,0,23.91,G,12.96,22188.25,18100,0,519.76
225,1112014,3,1,68000,1,7200,1,1,6,1,1,7.9,A,7.98,7730.87,6744.17,64.1,225.29
226,1022013,10,3,53000,1,26000,2,1,7,2,1,16.77,D,11.77,9622.45,3946.3,1284.25,642.96
227,1102014,6,3,69600,1,7000,2,1,1,1,1,11.71,B,26.22,6126.24,3452.36,883.68,154.69
228,1082012,0.5,1,65000,1,4000,1,1,8,1,0,7.51,A,18.17,4182.25,4000,0,124.45
229,1022012,10,3,144000,2,1500,1,1,6,2,0,17.27,D,8.23,1521.6,1500,0,53.69
230,1022013,2,1,75000,1,19600,1,1,1,1,0,12.42,B,11.62,21993.62,19600,0,654.94
231,1112013,7,3,29000,1,2500,1,1,6,1,0,11.71,B,18.7,2894.74,2500,0,82.69
232,1072013,2,1,70000,1,10000,1,1,1,1,1,12.69,B,2.69,6351.59,4513.35,333.11,335.45
233,1012015,5,1,45000,1,10000,1,1,1,1,0,6.62,A,26.85,11051.5238,10000,0,307.04
234,1012015,5,3,55200,1,4225,1,1,4,1,0,12.42,B,17.61,5081.022961,4225,0,141.18
235,1012015,7,3,61440,1,3500,1,1,11,1,0,7.9,A,6.46,3942.078528,3500,0,109.52
236,1012015,10,3,56000,1,12000,1,1,6,1,0,6.62,A,13.65,13262.20515,12000,0,368.45
237,1122014,0.5,1,47000,1,16500,1,1,6,1,0,8.9,A,9.06,18856.75782,16500,0,523.93
238,1112013,0.5,1,55000,1,22000,2,1,6,2,0,21.67,F,15.62,25023.2,22000.01,0,603.5
239,1032012,1,1,71000,1,12000,1,1,1,2,0,14.65,C,14.87,12430.36,12000,0,413.94
240,1012016,10,1,50000,1,15600,2,1,11,1,0,12.69,B,5.78,16894.08,11631.87,0,352.48
241,1012015,8,1,135000,2,10800,1,1,1,1,0,12.42,B,12.12,13004.14287,10800,0,360.89
242,1092014,10,3,63000,1,14000,1,1,1,1,0,12.42,B,7.35,16789.071369999998,14000,0,467.82
243,1122015,4,3,44000,1,18825,2,1,6,2,0,17.58,D,24.98,22698.14,13625.93,0,473.75
244,1012015,5,3,50000,1,6000,1,1,6,2,0,13.49,C,15.58,7325.298968000001,6000,0,203.59
245,1102014,5,1,80000,1,12000,1,1,6,1,0,9.91,B,14.83,13905.997169999999,12000,0,386.7
246,1012015,4,1,45000,1,10000,1,1,6,1,0,12.42,B,10.45,12025.47063,10000,0,334.16
247,1122013,2,1,78000,1,8000,1,1,11,1,0,7.9,A,6.09,8846.24,8000,0,250.33
248,1122013,1,1,33000,1,14125,1,1,6,1,0,9.91,B,23.13,16055.99,14125,0,455.18
249,1122014,5,1,62800,1,14000,1,1,6,1,0,12.69,B,19.24,16897.179809999998,14000,0,469.63
250,1112012,3,1,26400,1,13200,2,1,3,2,0,17.27,D,9.64,10200.26,8975,0,224.36
251,1012013,10,3,80000,1,4000,1,1,11,2,0,19.03,E,20.59,4340.62,4000,0,146.69
252,1032013,2,1,25000,1,4000,1,1,6,1,1,12.69,B,6.86,2022.66,1373.86,150.58,134.18
253,1122014,10,3,65000,1,10500,1,1,6,1,0,6.03,A,10.36,11503.77547,10500,0,319.58
254,1072014,10,2,59000,1,5500,1,1,2,1,0,7.9,A,6.65,6171.267137,5500,0,172.1
255,1092014,1,1,33000,1,7350,1,1,6,1,0,11.71,B,22.51,8725.632456,7350,0,243.11
256,1042014,10,1,39000,1,10000,1,1,1,1,1,12.42,B,18.31,11604.88,9635.96,12.02,334.16
